indice,Y,X 
1,19,23
2,17,18
3,25,33
4,84,89
5,91,114
6,48,66
7,48,61
8,20,25
9,34,46
10,42,58
11,35,44
12,55,66
13,42,61
14,36,45
15,13,20
16,7,16
17,8,15
18,18,26
19,20,22
20,18,22
21,0,2
22,23,29
23,0,3
24,19,29
25,11,21
26,11,15
27,42,54
28,13,42
29,8,13
30,0,2
31,47,53
32,27,28
33,80,90
34,52,68
35,90,99
36,78,89
37,46,48
38,35,48
39,59,62
40,27,33
41,33,43
42,27,37
43,9,14
44,9,15
45,12,21
46,49,68
47,60,81
48,35,59
49,11,23
50,21,32
51,22,36
52,10,16
53,9,15
54,7,16
55,3,8
56,5,25
57,2,11
58,8,9
59,14,19
60,5,5
61,67,110
62,44,57
63,43,81
64,15,23
65,17,25
66,29,59
67,18,27
68,14,22
69,24,29
70,35,44
71,48,53
72,20,27
73,24,28
74,55,62
75,43,56
76,13,22
77,19,22
78,48,57
79,44,57
80,36,46
81,3,8
82,2,4
83,13,18
84,34,42
85,28,32
86,23,28
87,8,14
88,69,76
89,2,19
90,5,9
91,34,48
92,13,24
93,16,27
94,21,32
95,12,14
96,10,18
97,50,61
98,58,65
99,17,25
100,41,68
101,3,8
102,4,12
103,18,27
104,1,3
105,1,3
106,3,6
107,6,14
108,5,15
109,5,14
110,4,9
111,0,1
112,0,4
113,7,12
114,7,22
115,3,11
116,12,27
117,11,20
118,27,38
119,14,31
120,2,4
121,1,3
122,22,37
123,25,30
124,2,3
125,4,4
126,7,13
127,15,24
128,10,19
129,5,17
130,8,13
131,8,18
132,0,1
133,4,10
134,1,4
135,3,9
136,0,5
137,14,20
138,3,5
139,5,13
140,0,1
141,11,23
142,19,39
143,5,9
144,0,2
145,3,5
146,12,26
147,4,10
148,14,35
149,0,4
150,20,38
151,6,37
152,4,11
153,9,24
154,54,102
155,50,82
156,9,24
157,6,18
158,5,18
159,1,3
160,1,6
161,0,1
162,2,7
163,2,8
164,3,12
165,1,4
166,6,8
167,3,9
168,3,7
169,5,12
170,3,10
171,0,1
172,0,1
173,0,1
174,2,4
175,0,1
176,0,1
177,0,2
178,1,1
179,0,1
180,0,1
